CourtId  CourtName                                                              CourtLocation     RecordStatus  
    117  Civil Judge-II Batgram                                                 Batgram                        1
    118  District Collector, Faisalabad                                         Faisalabad                     1
    119  Additional District Judge-I, Mansehra                                  Mansehra                       1
    120  Peshawar High Court, Abbotabad Bench                                   Abbotabad                      1
    121  Civil Judge III District Court, Bannu                                  Bannu                          1
    122  Civil Judge-II, Lakki Marawat                                          Lakki Marawat                  1
    123  District & Session Judge Presiding Officer PLC-10, Sahiwal             Sahiwal                        1
    124  Civil Judge-II Ilaqa Qazi Besham                                       Besham                         1
    125  D.O.R/D.C.O Faisalabad                                                 Faisalabad                     1
    126  Senior Civil Judge, Peshawar                                           Peshawar                       1
    127  Civil Judge Dheer Court Distt. Bagh AJK                                Bagh AJK                       1
    128  Civil Judge Batgram                                                    Batgram                        1
    129  Double Bench Lahore High Court Lahore                                  Lahore                         1
    130  High Court of AJ&K  Muzaffarabad                                       Muzaffarabad                   1
    131  Civil Judge Patoki Distt. Kasur                                        Kasur                          1
    132  Distt. & Session Judge,Kohistan at DASU                                DASU                           1
    133  CIVIL JUDGE-IX ABBOTABAD                                               ABBOTABAD                      1
    134  CIVIL JUDGE KOTLI AJK                                                  AJK                            1
    135  Senior Civil Judge Kohistan at Dasu.                                   Dasu.                          1
    136  Senior Civil Judge Rawalpindi                                          Rawalpindi                     1
    137  Senior Civil Judge Court No.3 Muzaffarabad                             Muzaffarabad                   1
    138  Civil Judge/Judicial Magistrate Takht Bhai Distt. Mardan               Mardan                         1
    139  Distt. & Session Judge Shangla                                         Shangla                        1
    140  Civil Judge Allaqa Qazi-II Malakand at Batkhela                        Batkhela                       1
    141  Civil Judge / Illaqa Qazi/JFC, Besham, Distt. Shangla                  Shangla                        1
    142  XEN Canal Division Distt. Bannu                                        Bannu                          1
    143  Civil Jjudge Thorar Distt. Rawalakot AJK                               AJK                            1
    144  HIGH COURT OF AJ&K CIRCUIT BENCH RAWLAKOT                              RAWLAKOT                       1
    145  Distt & Session Judge Muzaffarabad                                     Muzaffarabad                   1
    146  Civil Judge Judicial Megistrate Ghazi Distt. Haripur                   Haripur                        1
    147  Additional District Judge-II Battagram                                 Battagram                      1
    148  PESHAWAR HIGH COURT MINGORA BENCH/DARUL QAZA SAWAT                     SAWAT                          1
    149  Civil Judge/Family Court Faisalabad                                    Faisalabad                     1
    150  CIVIL JUDGE/JM DASU KOHISTAN                                           KOHISTAN                       0
    151  CIVIL JUDGE JM DASU KOHISTAN                                           KOHISTAN                       1
    152  CIVIL JUDGE JM DASU KOHISTAN                                           KOHISTAN                       0
    153  CIVIL JUDGE JM DASU KOHISTAN                                           KOHISTAN                       0
    154  CIVIL JUDGE JM DASU KOHISTAN                                           KOHISTAN                       0
    155  CIVIL JUDGE JM DASU KOHISTAN                                           KOHISTAN                       0
    156  CIVIL JUDGE/JM DASU KOHISTAN                                           KOHISTAN                       0
    157  CIVIL JUDGE JM DASU KOHISTAN                                           KOHISTAN                       0
    158  CIVIL JUDGE/JM DASU KOHISTAN                                           KOHISTAN                       0
    159  CIVIL JUDGE/JM DASU KOHISTAN                                           KOHISTAN                       0
